x,y,z,color
0,0,0,1
0.000311925,0,10,1
0.00072894,0.002110092,20,1
0.001240994,0,30,1
0.001680855,0,40,1
0.002382677,0,49.99880865,1
0.003591655,0.004684408,60,1
0.005041868,0,70,1
0.006492081,0.005406957,80,1
0.007701059,0,90,1
0.00894872,0.004858935,100,1
0.011873981,0.010674088,110,1
0.015105319,0.011572884,120,1
0.01797119,0.010557151,130,1
0.036544085,0,140,1
0.053214445,0,150,1
0,0,160,1
0,0,170,1
0,0,180,1
0,0,190,1
0,0,200,1
0,0,210,1
0,0,220,1
0,0,230,1
0,0,240,1
0,0,250,1
0,0,260,1
0,0,270,1
0,0,280,1
0,0,290,1
0,0,300,1
0,0,310,1
0,0,320,1
0,0,330,1
0,0,340,1
0,0,350,1
0,0,360,1
0,0,370,1
0,0,380,1
0,0,390,1
0,0,400,1
0,0,410,1
0,0,420,1
0,0,430,1
0,0,440,1
0,0,450,1
0,0,460,1
0,0,470,1
0,0,480,1
0,0,490,1
0,0,500,1
0,0,510,1
0,0,520,1
0,0,530,1
0,0,540,1
0,0,550,1
0,0,560,1
0,0,570,1
1,1,580,1
1,1,590,1
1,1,600,1
1,1.107039797,609,1
2,1.376264441,619,1
2,1.58615148,629,1
2,1.488321421,639,1
3,1.450214073,649,1
3.283949137,1.499334127,658,1
4,1.545187367,668,1
4,1.581112583,678,1
5,1.60026997,688,1
5,1.971047607,697,1
6,2.370766781,707,1
7,2.210686572,717,1
7,2.441668466,726,1
8,3.012376921,736,1
9,3.46886765,745,1
10,3.634865902,755,1
11,3.861140335,764,1
13,4.357593754,773,1
14,4,783,1
16,4.51683095,792,1
17,5.056751132,801,1
19,6,810,1
21,6,819,1
23,7,828,1
25,7,837,1
27,7,846,1
30,8.147400426,855,1
32,8,863,1
35,9.180675872,872,1
38,9.640753686,880,1
41,9.993154607,889,1
45,9.938237739,899,1
45,9.932747511,900,1
47,9.932747511,905,1
50,9.932747511,914,1
53,9.932747511,922,1
54,9.932747511,925,1
56,10.2656954,930,1
59,10.83486659,938,1
63,11.4181242,947,1
66,12.01590639,955,1
70,12.62681865,962,1
74,13.25191805,970,1
78,13.89040171,978,1
82,14.54274416,986,1
87,15.20742652,993,1
91,15.88490223,1,000,1
92,16.03242053,1,002,1
96,16.03242053,1,008,1
101,16.03242053,1,015,1
105,16.03242053,1,022,1
110,16.03242053,1,030,1
115,16.03242053,1,037,1
119,16.03242053,1,044,1
124,16.03242053,1,051,1
129,16.03242053,1,059,1
133,16.03242053,1,066,1
138,16.03242053,1,073,1
143,16.03242053,1,081,1
147,16.03242053,1,088,1
152,16.03242053,1,095,1
157,16.03242053,1,103,1
161,16.03242053,1,110,1
166,16.03242053,1,117,1
171,16.03242053,1,124,1
175,16.03242053,1,132,1
180,16.03242053,1,139,1
185,16.03242053,1,146,1
189,16.03242053,1,154,1
194,16.03242053,1,161,1
199,16.03242053,1,168,1
203,16.03242053,1,176,1
208,16.03242053,1,183,1
213,16.03242053,1,190,1
217,16.03242053,1,198,1
222,16.03242053,1,205,1
227,16.03242053,1,212,1
231,16.03242053,1,219,1
236,16.03242053,1,227,1
241,16.03242053,1,234,1
245,16.03242053,1,241,1
