x,y,z,color
0,0,0,1
0.024938837,-0.012564751,9.999961009,1
0.040883301,-0.070628846,19.99977972,1
0.017491308,-0.13455047,29.99954806,1
-0.049915767,-0.149007448,39.99931042,1
-0.124394397,-0.139776843,49.99902881,1
-0.220494852,-0.127636532,59.99855966,1
-0.308760726,-0.201647906,69.99789621,1
-0.371951112,-0.304161853,79.99717108,1
-0.481415232,-0.340024846,89.99650763,1
-0.591003946,-0.356539892,99.99589349,1
-0.598193079,-0.497723935,109.9948942,1
-0.602080545,-0.673077444,119.9933559,1
-0.610727699,-0.847387157,129.9918328,1
-0.31073515,-0.857155481,139.9873273,1
-0.004638718,-1.144197286,149.978519,1
-0.393710148,-1.227216407,159.9706024,1
-0.809872832,-1.308298701,169.9616101,1
-1.219534706,-1.39078942,179.9528749,1
-1.559626014,-1.469118145,189.9467832,1
-1.81908619,-1.535736196,199.9431947,1
-2.072941236,-1.599617943,209.9397679,1
-2.304989014,-1.649470589,219.9369509,1
-2.467466707,-1.677783656,229.9355908,1
-2.683015522,-1.705128473,239.9332301,1
-2.916029276,-1.724920457,249.9304954,1
-3.159178592,-1.737003876,259.9275315,1
-3.449693376,-1.741922672,269.9233095,1
-3.760286801,-1.737965217,279.9184841,1
-4.044707965,-1.733894389,289.9144377,1
-4.275050781,-1.736949951,299.911784,1
-4.507897616,-1.744837017,309.9090696,1
-4.743969613,-1.758552193,319.9062733,1
-4.995211914,-1.780201692,329.9030933,1
-5.277844427,-1.803338993,339.8990716,1
-5.491316111,-1.814937573,349.8967861,1
-5.707625356,-1.821338589,359.8944443,1
-6.012116467,-1.824979107,369.8898069,1
-6.231965936,-1.829392361,379.8873889,1
-6.444626732,-1.839774607,389.885122,1
-6.741984994,-1.864770611,399.8806687,1
-6.946768503,-1.886511066,409.878548,1
-7.124935863,-1.902537463,419.8769479,1
-7.412335249,-1.920165911,429.8728016,1
-7.68272739,-1.927553348,439.8691426,1
-7.868577249,-1.925039333,449.8674151,1
-8.102285447,-1.916816803,459.8646804,1
-8.356976603,-1.909702635,469.8614339,1
-8.534898998,-1.90398686,479.8598493,1
-8.758703844,-1.889768992,489.8573345,1
-9.127538961,-1.861388676,499.8504899,1
-9.47382126,-1.835473135,509.8444589,1
-9.680487813,-1.827858897,519.8423203,1
-9.833523395,-1.806963654,529.8411274,1
-9.908683627,-1.895401646,539.8404538,1
-9.850870761,-2.070211603,549.8387586,1
-9.705426388,-2.489756205,559.8288952,1
-9.363909758,-3.137637169,569.80204,1
-8.880269247,-3.965122929,579.7560019,1
-8.275933993,-4.896607162,589.6941666,1
-7.504302902,-5.985614598,599.6046987,1
-6.523379165,-7.261211228,609.4743817,1
-5.357916686,-8.675533129,619.305017,1
-4.032954959,-10.22084658,629.0956494,1
-2.669068476,-11.79009506,638.8771254,1
