x,y,z,color
0,0,0,1
0.00,0.03,10.00,1
0.00,0.09,20.00,1
0.00,0.16,30.00,1
0.00,0.23,40.00,1
0.00,0.30,50.00,1
0.00,0.40,60.00,1
0.00,0.51,70.00,1
0.01,0.63,80.00,1
0.01,0.75,90.00,1
0.01,0.86,100.00,1
0.01,1.00,109.99,1
0.01,1.18,119.99,1
0.02,1.35,129.99,1
0.03,1.65,139.99,1
0.04,2.07,149.98,1
0.06,2.47,159.97,1
0.08,2.89,169.96,1
0.09,3.31,179.95,1
0.11,3.66,189.95,1
0.11,3.92,199.94,1
0.12,4.19,209.94,1
0.13,4.42,219.94,1
0.13,4.59,229.94,1
0.13,4.81,239.93,1
0.14,5.04,249.93,1
0.14,5.28,259.93,1
0.15,5.57,269.92,1
0.16,5.88,279.92,1
0.17,6.17,289.91,1
0.18,6.40,299.91,1
0.18,6.63,309.91,1
0.19,6.87,319.91,1
0.19,7.12,329.90,1
0.20,7.40,339.90,1
0.21,7.62,349.90,1
0.21,7.83,359.89,1
0.22,8.14,369.89,1
0.23,8.36,379.89,1
0.23,8.57,389.89,1
0.24,8.87,399.88,1
0.24,9.07,409.88,1
0.25,9.25,419.88,1
0.25,9.54,429.87,1
0.26,9.81,439.87,1
0.27,10.00,449.87,1
0.27,10.23,459.86,1
0.28,10.49,469.86,1
0.28,10.66,479.86,1
0.29,10.89,489.86,1
0.30,11.26,499.85,1
0.31,11.60,509.84,1
0.32,11.81,519.84,1
0.32,11.97,529.84,1
0.32,12.08,539.84,1
0.32,12.27,549.84,1
0.34,12.71,559.83,1
0.40,13.44,569.80,1
0.49,14.39,579.76,1
0.61,15.50,589.69,1
0.79,16.82,599.60,1
1.05,18.41,609.47,1
1.38,20.21,619.31,1
1.80,22.20,629.10,1
2.23,24.24,638.88,1
2.64,26.22,648.67,1
3.05,28.20,658.46,1
3.48,30.22,668.25,1
3.92,32.27,678.02,1
4.37,34.35,687.80,1
4.88,36.55,697.54,1
5.51,38.99,707.22,1
6.19,41.49,716.87,1
6.87,44.02,726.53,1
7.68,46.74,736.11,1
8.65,49.71,745.61,1
9.73,52.81,755.06,1
10.87,55.98,764.47,1
12.12,59.29,773.83,1
13.46,62.70,783.13,1
14.83,66.14,792.42,1
16.30,69.68,801.66,1
17.93,73.37,810.81,1
19.72,77.21,819.87,1
21.69,81.18,828.83,1
23.75,85.23,837.74,1
25.91,89.34,846.59,1
28.29,93.60,855.32,1
30.79,97.93,863.98,1
33.44,102.35,872.55,1
36.31,106.87,881.00,1
39.29,111.44,889.38,1
43.13,117.28,900.00,1
43.52,117.87,901.07,1
45.33,120.62,906.09,1
48.34,125.21,914.45,1
51.36,129.80,922.81,1
52.56,131.64,926.15,1
54.40,134.40,931.15,1
57.59,139.06,939.40,1
60.94,143.79,947.55,1
64.46,148.56,955.60,1
68.15,153.38,963.55,1
72.00,158.25,971.39,1
76.03,163.16,979.12,1
