x,y,z,color
0,0,0,1
-0.044884004,-0.257167737,9.999844036,1
0.019361002,-0.207424585,19.99963553,1
-0.039689433,-0.240433068,29.9993795,1
-0.074243847,-0.224802779,39.99915956,1
-0.099114491,-0.254490271,49.99880865,1
-0.156842962,-0.333244186,59.99820414,1
-0.268787889,-0.389019202,69.99747901,1
-0.258145617,-0.389019202,79.99675387,1
-0.315120928,-0.357928625,89.99614937,1
-0.342275693,-0.360359696,99.99552552,1
-0.317763129,-0.311630933,109.9940628,1
-0.351385011,-0.320982854,119.992447,1
-0.336336198,-0.326316512,129.9910139,1
-0.270182006,-0.096061636,139.9817232,1
-0.668781909,0.030851932,149.9733845,1
-1.048263371,0.148409378,159.9658791,1
-1.501198304,-0.264597702,169.9552656,1
-1.867744506,0.214154629,179.948226,1
-2.181469419,0.50569361,189.9430137,1
-2.38697394,1.11376917,199.9407468,1
-2.689521309,0.568320484,209.9359215,1
-2.85047273,1.392436519,219.9345757,1
-3.014402905,1.382549216,229.9332011,1
-3.281751645,0.795621853,239.9295892,1
-3.480254728,1.19471446,249.9276099,1
-3.768047396,0.684974572,259.9234635,1
-4.061220156,0.654974628,269.9191651,1
-4.389160025,0.455049708,279.9137824,1
-4.629991996,0.955049335,289.9108819,1
-4.849801091,1.075003132,299.908464,1
-5.095671165,0.925122924,309.9054361,1
-5.321887945,1.034804592,319.9028622,1
-5.598086892,0.746134847,329.8990119,1
-5.887110466,0.676294464,339.8948152,1
-6.024871153,1.545562788,349.8938646,1
-6.319740445,0.645711048,359.8895149,1
-6.633842826,0.535712872,369.8845805,1
-6.759428955,1.615074553,379.8837909,1
-7.058981622,0.617069803,389.8792854,1
-7.354024323,0.636960606,399.874884,1
-7.468554874,1.67101406,409.8742205,1
-7.710495809,0.942928113,419.8712779,1
-8.043373908,0.423580344,429.865722,1
-8.251051019,1.14357293,439.8635653,1
-8.415022756,1.393448196,449.8622195,1
-8.718435473,0.594048632,459.8576086,1
-8.924339643,1.153966718,469.8554879,1
-9.074265701,1.473611478,479.8543614,1
-9.371723983,0.626313855,489.8499081,1
-9.811946357,-0.19145246,499.8401606,1
-10.06426983,0.885464937,509.8369584,1
-10.22483292,1.415463961,519.8356693,1
-10.36767387,1.48286559,529.8345689,1
-10.33234863,1.32684808,539.834218,1
-10.27486019,1.559267243,549.8301716,1
-10.00481838,2.378095146,559.8119433,1
-9.587205335,3.095839295,569.7747975,1
-9.034034113,3.68270351,579.7189164,1
-8.376701362,4.038178957,589.6508264,1
-7.486536123,5.198249074,599.5370815,1
-6.411754688,5.963203453,609.3890736,1
-5.153830037,6.8530149,619.1969264,1
-3.760984473,7.503425685,628.9696077,1
-2.426002379,7.189023469,638.7597068,1
-1.09570819,7.063001527,648.5565108,1
0.317524428,7.228722432,658.3448276,1
