x,y,z,color
0,0,0,1
-0.04488,1.303992,-5.95103,1
0.019361,0.414964,-6.96333,1
-0.03969,1.907518,-1.3151,1
-0.07424,1.29079,-9.85061,1
-0.09911,2.391004,-0.30145,1
-0.15684,0.949953,-8.81231,1
-0.26879,1.391912,-12.4984,1
-0.25815,0.507513,-22.4593,1
-0.31512,2.199258,-13.9066,1
-0.34228,0.694452,-23.6066,1
-0.31776,0.312875,-33.5033,1
-0.35139,0.654777,-43.3268,1
-0.33634,0.385947,-53.2873,1
-0.27018,-6.77105,-43.4058,1
-0.66878,3.381574,-45.5719,1
-1.04826,3.417599,-47.5792,1
-1.5012,3.468726,-49.3964,1
-1.86774,3.400072,-51.5267,1
-2.18147,3.356813,-53.8849,1
-2.38697,3.32445,-56.5001,1
-2.68952,3.388748,-58.7649,1
-2.85047,3.420411,-60.7004,1
-3.0144,3.462689,-62.1975,1
-3.28175,3.536864,-63.2167,1
-3.48025,3.576456,-63.8899,1
-3.76805,3.634907,-64.2093,1
-4.06122,3.685333,-64.2285,1
-4.38916,3.740448,-63.9545,1
-4.62999,3.704323,-63.9423,1
-4.8498,3.667821,-64.2197,1
-5.09567,3.650596,-64.6193,1
-5.32189,3.603633,-65.3795,1
-5.59809,3.572279,-66.3363,1
-5.88711,3.619208,-67.0112,1
-6.02487,3.640165,-67.4212,1
-6.31974,3.678799,-67.6027,1
-6.63384,3.701101,-67.6603,1
-6.75943,3.680492,-68.0041,1
-7.05898,3.630967,-68.6355,1
-7.35402,3.560658,-69.679,1
-7.46855,3.559046,-70.7469,1
-7.7105,3.607076,-71.4705,1
-8.04337,3.649738,-71.9712,1
-8.25105,3.703942,-72.0166,1
-8.41502,3.737901,-71.7008,1
-8.71844,3.750351,-71.3134,1
-8.92434,3.724815,-71.1424,1
-9.07427,3.750631,-70.6713,1
-9.37172,3.806433,-69.8745,1
-9.81195,3.791424,-69.1369,1
-10.0643,3.793955,-68.3819,1
-10.2248,3.722665,-68.4011,1
-10.3677,3.956609,-65.7018,1
-10.3323,2.86251,-74.7693,1
-10.2749,3.24026,-84.563,1
-10.0048,2.339812,-93.5061,1
-9.58721,2.130559,-102.251,1
-9.03403,1.857133,-110.769,1
-8.3767,1.536765,-119.025,1
-7.48654,1.244993,-127.085,1
-6.41175,0.809603,-134.875,1
-5.15383,0.552084,-142.519,1
-3.76098,0.357037,-150.058,1
-2.426,0.387609,-157.614,1
-1.09571,0.261253,-165.098,1
0.317524,-0.17264,-172.331,1
1.823355,-0.71246,-179.245,1
3.361825,-0.80967,-186.101,1
4.898934,-0.70537,-193.018,1
6.570519,-0.25086,-200.172,1
8.351398,0.2918,-207.57,1
9.983334,0.881302,-215.235,1
11.74646,0.593918,-222.779,1
13.80227,-0.05489,-230.07,1
16.09554,-0.67325,-237.128,1
18.39427,-0.2483,-244.344,1
20.67718,0.46138,-251.804,1
23.17975,-0.09713,-259.084,1
25.82219,-1.06119,-266.043,1
28.3905,-0.22788,-273.278,1
31.05555,0.209578,-280.645,1
33.70468,1.325818,-288.322,1
36.50734,1.109382,-295.943,1
39.28361,2.312457,-303.855,1
42.06958,2.235305,-311.749,1
45.01075,2.10672,-319.614,1
48.25407,0.928147,-327.218,1
51.33061,2.240919,-335.111,1
54.75955,0.892645,-342.723,1
58.2633,0.941359,-350.346,1
61.89744,0.412758,-357.858,1
66.50421,0.412758,-367.407,1
66.97165,0.412758,-368.376,1
69.14579,0.412758,-372.884,1
72.76935,0.412758,-380.396,1
76.39291,0.412758,-387.909,1
77.84233,0.412758,-390.914,1
80.05566,0.351411,-395.414,1
83.85248,0.250733,-402.893,1
87.7561,0.152254,-410.354,1
91.76541,0.056224,-417.795,1
95.87901,-0.0371,-425.219,1
100.0958,-0.12873,-432.625,1
104.4144,-0.21848,-440.016,1
108.8336,-0.30616,-447.39,1
113.352,-0.39158,-454.749,1
117.9681,-0.47592,-462.094,1
118.9697,-0.49368,-463.68,1
122.6053,-0.49368,-469.436,1
127.2424,-0.49368,-476.777,1
131.8795,-0.49368,-484.119,1
136.5166,-0.49368,-491.46,1
141.1538,-0.49368,-498.802,1
145.7909,-0.49368,-506.143,1
150.428,-0.49368,-513.485,1
155.0652,-0.49368,-520.827,1
159.7023,-0.49368,-528.168,1
164.3394,-0.49368,-535.51,1
168.9765,-0.49368,-542.851,1
173.6137,-0.49368,-550.193,1
178.2508,-0.49368,-557.534,1
182.8879,-0.49368,-564.876,1
187.5251,-0.49368,-572.218,1
192.1622,-0.49368,-579.559,1
196.7993,-0.49368,-586.901,1
201.4365,-0.49368,-594.242,1
206.0736,-0.49368,-601.584,1
210.7107,-0.49368,-608.925,1
215.3478,-0.49368,-616.267,1
219.985,-0.49368,-623.608,1
224.6221,-0.49368,-630.95,1
229.2592,-0.49368,-638.292,1
233.8964,-0.49368,-645.633,1
238.5335,-0.49368,-652.975,1
243.1706,-0.49368,-660.316,1
247.8078,-0.49368,-667.658,1
252.4449,-0.49368,-674.999,1
257.082,-0.49368,-682.341,1
261.7191,-0.49368,-689.683,1
266.3563,-0.49368,-697.024,1
270.9934,-0.49368,-704.366,1
275.6305,-0.49368,-711.707,1
280.2677,-0.49368,-719.049,1
284.9048,-0.49368,-726.39,1
289.5419,-0.49368,-733.732,1
291.471,-0.49368,-736.786,1
294.2069,-0.47366,-741.076,1
297.0517,-0.45342,-745.492,1
298.9531,-0.44006,-748.425,1
303.7976,-0.40645,-755.781,1
308.7197,-0.37372,-763.143,1
313.718,-0.3412,-770.509,1
318.7908,-0.30892,-777.881,1
323.9366,-0.27767,-785.258,1
329.154,-0.24674,-792.639,1
334.4413,-0.21694,-800.025,1
339.7969,-0.18673,-807.415,1
345.2191,-0.15692,-814.81,1
350.7063,-0.12756,-822.209,1
356.2569,-0.09866,-829.612,1
361.869,-0.07026,-837.019,1
367.5412,-0.04238,-844.43,1
373.2716,-0.0142,-851.845,1
379.0583,0.013415,-859.263,1
384.8998,0.040436,-866.685,1
390.7942,0.067718,-874.111,1
396.7397,0.094364,-881.54,1
402.7346,0.120351,-888.973,1
408.777,0.146559,-896.409,1
414.865,0.172979,-903.848,1
420.9968,0.198685,-911.291,1
427.1705,0.224581,-918.737,1
433.3842,0.249728,-926.186,1
439.6361,0.275043,-933.638,1
445.9242,0.300517,-941.093,1
452.2467,0.325195,-948.552,1
458.6016,0.350011,-956.013,1
464.987,0.374,-963.477,1
471.4008,0.399072,-970.945,1
477.8413,0.423291,-978.415,1
484.3064,0.447615,-985.888,1
490.794,0.472036,-993.364,1
497.3025,0.495567,-1000.84,1
503.8295,0.520159,-1008.32,1
510.3732,0.54384,-1015.81,1
516.9316,0.567585,-1023.3,1
523.5028,0.591388,-1030.79,1
527.8841,0.607279,-1035.78,1
530.0813,0.607279,-1038.28,1
536.6598,0.607279,-1045.77,1
537.7518,0.607279,-1047.01,1
543.2383,0.607279,-1053.26,1
549.8167,0.607279,-1060.75,1
556.3952,0.607279,-1068.25,1
562.9737,0.607279,-1075.74,1
569.5522,0.607279,-1083.23,1
576.1307,0.607279,-1090.72,1
582.7092,0.607279,-1098.21,1
589.2877,0.607279,-1105.7,1
595.8661,0.607279,-1113.2,1
602.4446,0.607279,-1120.69,1
609.0231,0.607279,-1128.18,1
615.6016,0.607279,-1135.67,1
622.1801,0.607279,-1143.16,1
628.7586,0.607279,-1150.66,1
635.3371,0.607279,-1158.15,1
641.9155,0.607279,-1165.64,1
648.494,0.607279,-1173.13,1
655.0725,0.607279,-1180.62,1
661.651,0.607279,-1188.12,1
668.2295,0.607279,-1195.61,1
674.808,0.607279,-1203.1,1
681.3865,0.607279,-1210.59,1
687.9649,0.607279,-1218.08,1
694.5434,0.607279,-1225.57,1
701.1219,0.607279,-1233.07,1
707.7004,0.607279,-1240.56,1
714.2789,0.607279,-1248.05,1
720.8574,0.607279,-1255.54,1
727.4359,0.607279,-1263.03,1
734.0143,0.607279,-1270.53,1
740.5928,0.607279,-1278.02,1
747.1713,0.607279,-1285.51,1
753.7498,0.607279,-1293,1
760.3283,0.607279,-1300.49,1
766.9068,0.607279,-1307.99,1
773.4853,0.607279,-1315.48,1
780.0637,0.607279,-1322.97,1
786.6422,0.607279,-1330.46,1
793.2207,0.607279,-1337.95,1
799.7992,0.607279,-1345.44,1
806.3777,0.607279,-1352.94,1
812.9562,0.607279,-1360.43,1
819.5347,0.607279,-1367.92,1
826.1131,0.607279,-1375.41,1
832.6916,0.607279,-1382.9,1
839.2701,0.607279,-1390.4,1
845.8486,0.607279,-1397.89,1
852.4271,0.607279,-1405.38,1
853.9796,0.607279,-1407.15,1
