x;y;z;color
0;0;0;1
0.024938837;8.930540047;-4.4994258;1
0.040883301;11.57848041;-14.14246254;1
0.017491308;8.141963078;-23.53340506;1
-0.049915767;-1.63545397;-25.63044396;1
-0.124394397;-11.55924706;-24.40049123;1
-0.220494852;-21.47992862;-23.1471589;1
-0.308760726;-29.14210796;-29.5723606;1
-0.371951112;-34.38901725;-38.08505406;1
-0.481415232;-43.89137284;-41.19845345;1
-0.591003946;-53.77911098;-42.68862957;1
-0.598193079;-54.28760418;-52.67569034;1
-0.602080545;-54.50920875;-62.67323386;1
-0.610727699;-55.00460385;-72.66095176;1
-0.31073515;-45.0144042;-72.98639819;1
-0.004638718;-37.72636583;-79.82677842;1
-0.393710148;-47.49846361;-81.91357704;1
-0.809872832;-57.30507558;-83.82594997;1
-1.219534706;-67.09974114;-85.79995696;1
-1.559626014;-76.83868198;-88.04436541;1
-1.81908619;-86.52103781;-90.53126428;1
-2.072941236;-96.21537093;-92.97164603;1
-2.304989014;-105.9895336;-95.07209784;1
-2.467466707;-115.8397367;-96.78880978;1
-2.683015522;-125.7578842;-98.04733664;1
-2.916029276;-135.71928;-98.89368033;1
-3.159178592;-145.7039944;-99.39002248;1
-3.449693376;-155.69834;-99.55931133;1
-3.760286801;-165.6927034;-99.43190574;1
-4.044707965;-175.6876333;-99.28879363;1
-4.275050781;-185.6841001;-99.42143476;1
-4.507897616;-195.6756555;-99.75996395;1
-4.743969613;-205.65603;-100.3399602;1
-4.995211914;-215.6159409;-101.1984768;1
-5.277844427;-225.578592;-102.0143829;1
-5.491316111;-235.561582;-102.5569138;1
-5.707625356;-245.5548657;-102.8527039;1
-6.012116467;-255.5495139;-102.9722562;1
-6.231965936;-265.5450822;-103.1729555;1
-6.444626732;-275.530922;-103.6605816;1
-6.741984994;-285.4913398;-104.4982296;1
-6.946768503;-295.4333499;-105.5539283;1
-7.124935863;-305.3915438;-106.4498247;1
-7.412335249;-315.3686466;-107.0620522;1
-7.68272739;-325.3612588;-107.3351623;1
-7.868577249;-335.3586167;-107.1999034;1
-8.102285447;-345.3497002;-106.848292;1
-8.356976603;-355.3425562;-106.5690756;1
-8.534898998;-365.3358163;-106.2479902;1
-8.758703844;-375.3131884;-105.6139886;1
-9.127538961;-385.2768915;-104.8467983;1
-9.47382126;-395.2429898;-104.1004919;1
-9.680487813;-405.2340724;-103.7323107;1
-9.833523395;-415.1409601;-102.379478;1
-9.908683627;-421.6164048;-109.999384;1
-9.850870761;-418.4770125;-119.4936387;1
-9.705426388;-415.204766;-128.9419851;1
-9.363909758;-410.5541944;-137.7882018;1
-8.880269247;-405.5313956;-146.421717;1
-8.275933993;-400.1223205;-154.8107983;1
-7.504302902;-394.3926209;-162.9701566;1
-6.523379165;-388.3761422;-170.8973107;1
-5.357916686;-382.1244132;-178.6146666;1
-4.032954959;-375.7516247;-186.2062438;1
-2.669068476;-369.3350433;-193.753912;1
-1.336341227;-362.879691;-201.274036;1
0.035380685;-356.2500697;-208.6338254;1
1.494987157;-349.3357033;-215.7092114;1
3.017111105;-342.2446873;-222.594023;1
4.554937789;-335.1589049;-229.4807332;1
6.161189624;-328.2372982;-236.5171609;1
7.889508404;-321.5998057;-243.79429;1
9.59548152;-315.2485489;-251.3276288;1
11.29262071;-308.9804251;-258.9322552;1
13.20046913;-302.5519989;-266.3508434;1
15.37407651;-295.9350966;-273.5266384;1
17.67056721;-289.3181707;-280.6640345;1
19.96251614;-282.9240393;-288.0031116;1
22.3545494;-276.6037172;-295.3741161;1
24.92749346;-270.0719182;-302.4956019;1
27.53365293;-263.5279161;-309.5937685;1
30.1514267;-257.2158425;-316.8947949;1
32.81111474;-251.1897957;-324.418944;1
35.5368644;-245.3537171;-332.068158;1
38.32916666;-239.7101236;-339.836871;1
41.11029081;-234.2506824;-347.7400254;1
43.97389099;-228.7997956;-355.6195957;1
47.06521838;-223.2685165;-363.3557864;1
50.22612113;-217.7969809;-371.1063342;1
53.47770462;-212.3843674;-378.8607407;1
56.94418335;-206.9104635;-386.4778203;1
60.51301308;-201.4338006;-394.0454895;1
65.12589719;-194.427356;-403.5940566;1
65.5933985;-193.7157886;-404.5631874;1
67.76753435;-190.4059831;-409.0707722;1
71.39109411;-184.8896405;-416.5834135;1
75.01465387;-179.373298;-424.0960548;1
76.46407777;-177.166761;-427.1011114;1
78.65782089;-173.8647246;-431.6048928;1
82.40073299;-168.3972136;-439.0946813;1
86.25102883;-162.9772177;-446.5645452;1
90.20757724;-157.6077435;-454.0153486;1
94.26911801;-152.29172;-461.4479646;1
98.43439135;-147.0319284;-468.8631578;1
102.7021909;-141.8310443;-476.2615827;1
107.0712409;-136.691706;-483.6438997;1
111.5401528;-131.6164739;-491.0107746;1
116.1075152;-126.6077313;-498.3627606;1
117.1068689;-125.5348174;-499.9488716;1
120.7423785;-121.6464277;-505.7046595;1
125.3795082;-116.686747;-513.0462258;1
130.0166379;-111.7270662;-520.3877921;1
134.6537676;-106.7673855;-527.7293583;1
139.2908973;-101.8077047;-535.0709246;1
143.928027;-96.84802396;-542.4124908;1
148.5651567;-91.88834321;-549.7540571;1
153.2022864;-86.92866245;-557.0956233;1
157.8394161;-81.9689817;-564.4371896;1
162.4765458;-77.00930095;-571.7787558;1
167.1136755;-72.0496202;-579.1203221;1
171.7508052;-67.08993944;-586.4618883;1
176.3879349;-62.13025869;-593.8034546;1
181.0250646;-57.17057794;-601.1450208;1
185.6621943;-52.21089719;-608.4865871;1
190.299324;-47.25121643;-615.8281533;1
194.9364537;-42.29153568;-623.1697196;1
199.5735833;-37.33185493;-630.5112858;1
204.210713;-32.37217417;-637.8528521;1
208.8478427;-27.41249342;-645.1944183;1
213.4849724;-22.45281267;-652.5359846;1
218.1221021;-17.49313192;-659.8775508;1
222.7592318;-12.53345116;-667.2191171;1
227.3963615;-7.573770412;-674.5606833;1
232.0334912;-2.614089659;-681.9022496;1
236.6706209;2.345591094;-689.2438158;1
241.3077506;7.305271846;-696.5853821;1
245.9448803;12.2649526;-703.9269484;1
250.58201;17.22463335;-711.2685146;1
255.2191397;22.1843141;-718.6100809;1
259.8562694;27.14399486;-725.9516471;1
264.4933991;32.10367561;-733.2932134;1
269.1305288;37.06335636;-740.6347796;1
273.7676585;42.02303711;-747.9763459;1
278.4047881;46.98271787;-755.3179121;1
283.0419178;51.94239862;-762.6594784;1
287.6790475;56.90207937;-770.0010446;1
289.6080935;58.96530657;-773.0551362;1
292.3301331;61.84715606;-777.3436142;1
295.1603522;64.78218511;-781.7589924;1
297.0553886;66.71338423;-784.6914669;1
301.8605448;71.49219499;-792.0449316;1
306.7440702;76.18236809;-799.4038347;1
311.7044744;80.78275302;-806.7679944;1
316.7402049;85.29217919;-814.1372884;1
321.8497424;89.70954345;-821.5115355;1
327.0315541;94.03376562;-828.8905551;1
332.2840946;98.26378862;-836.2741669;1
337.6057549;102.398539;-843.66225;1
342.9948953;106.4368832;-851.0547422;1
348.4498409;110.3778479;-858.451523;1
353.9689392;114.2204393;-865.8524719;1
359.5505245;117.9636898;-873.257469;1
365.1929184;121.6066582;-880.6663941;1
370.8944057;125.1483463;-888.0791864;1
376.6531947;128.5878839;-895.4957846;1
382.4675683;131.9244137;-902.9160696;1
388.3357412;135.1570742;-910.3399805;1
394.2559157;138.2850336;-917.7674567;1
400.2263663;141.3074677;-925.1983794;1
406.2452452;144.223655;-932.6326882;1
412.3106623;147.0328255;-940.0703813;1
418.4207978;149.7342157;-947.5113983;1
424.5737742;152.3271991;-954.9556792;1
430.7677286;154.8111272;-962.4031641;1
437.0008098;157.1853281;-969.8537928;1
443.2710543;159.4492473;-977.3075639;1
449.5765727;161.6023316;-984.7644175;1
455.9154857;163.644004;-992.2242939;1
462.2858704;165.5738289;-999.6871335;1
468.6857534;167.3913297;-1007.152935;1
475.1131691;169.0960084;-1014.621696;1
481.5661919;170.687473;-1022.093359;1
488.0428149;172.1654057;-1029.56792;1
494.5411044;173.5294805;-1037.045322;1
501.0590698;174.7793346;-1044.525562;1
507.5946936;175.9147536;-1052.008639;1
514.1460311;176.9355119;-1059.494494;1
520.7110787;177.8413494;-1066.983126;1
525.0899808;178.3807954;-1071.972095;1
527.287195;178.6385199;-1074.47438;1
533.8656808;179.4101504;-1081.96625;1
534.9577094;179.5382411;-1083.2099;1
540.4441665;180.1817809;-1089.458119;1
547.0226522;180.9534114;-1096.949989;1
553.6011379;181.7250419;-1104.441859;1
560.1796236;182.4966723;-1111.933729;1
566.7581093;183.2683028;-1119.425598;1
573.3365951;184.0399333;-1126.917468;1
579.9150808;184.8115638;-1134.409338;1
586.4935665;185.5831942;-1141.901207;1
593.0720522;186.3548247;-1149.393077;1
599.6505379;187.1264552;-1156.884947;1
606.2290236;187.8980857;-1164.376817;1
612.8075094;188.6697162;-1171.868686;1
619.3859951;189.4413466;-1179.360556;1
625.9644808;190.2129771;-1186.852426;1
632.5429665;190.9846076;-1194.344296;1
639.1214522;191.7562381;-1201.836165;1
645.6999379;192.5278686;-1209.328035;1
652.2784237;193.299499;-1216.819905;1
658.8569094;194.0711295;-1224.311775;1
665.4353951;194.84276;-1231.803644;1
672.0138808;195.6143905;-1239.295514;1
678.5923665;196.3860209;-1246.787384;1
685.1708522;197.1576514;-1254.279253;1
691.749338;197.9292819;-1261.771123;1
698.3278237;198.7009124;-1269.262993;1
704.9063094;199.4725429;-1276.754863;1
711.4847951;200.2441733;-1284.246732;1
718.0632808;201.0158038;-1291.738602;1
724.6417665;201.7874343;-1299.230472;1
731.2202523;202.5590648;-1306.722342;1
737.798738;203.3306953;-1314.214211;1
744.3772237;204.1023257;-1321.706081;1
750.9557094;204.8739562;-1329.197951;1
757.5341951;205.6455867;-1336.68982;1
764.1126808;206.4172172;-1344.18169;1
770.6911666;207.1888476;-1351.67356;1
777.2696523;207.9604781;-1359.16543;1
783.848138;208.7321086;-1366.657299;1
790.4266237;209.5037391;-1374.149169;1
797.0051094;210.2753696;-1381.641039;1
803.5835951;211.047;-1389.132909;1
810.1620809;211.8186305;-1396.624778;1
816.7405666;212.590261;-1404.116648;1
823.3190523;213.3618915;-1411.608518;1
829.897538;214.133522;-1419.100388;1
836.4760237;214.9051524;-1426.592257;1
843.0545094;215.6767829;-1434.084127;1
849.6329952;216.4484134;-1441.575997;1
851.1855178;216.6305182;-1443.344078;1
